dbn,schoolName,network,district,K-4discharge,K-4julyOct,K-4enrollment,K-4adjustedEnrollment,K-4attritionRate,K-4district,6-7discharge,6-7julyOct,6-7enrollment,6-7adjustedEnrollment,6-7attritionRate,6-7district,9-11discharge,9-11julyOct,9-11enrollment,9-11adjustedEnrollment,9-11attritionRate,9-11district
84Q170,Peninsula Preparatory Academy Charter School,,27,33,21,251,272,0.121323529,0.132047704,0,0,0,0,,,0,0,0,0,,
84K355,Williamsburg Collegiate Charter School,UncommonSchools,14,0,0,0,0,,,7,7,158,165,0.042424242,0.072955048,16,13,137,150,0.106666667,0.150123305
84K733,"Math, Engineering, and Science Academy Charter High School",,32,0,0,0,0,,,0,0,0,0,,,6,2,131,133,0.045112782,0.197509661
84X718,Bronx Charter School for Better Learning,,11,21,15,361,376,0.055851064,0.159929019,0,0,0,0,,,0,0,0,0,,
84M168,East Harlem Scholars Academy Charter School II,,4,19,9,109,118,0.161016949,0.162017705,0,0,0,0,,,0,0,0,0,,
84M704,Harbor Science and Arts Charter School,,4,18,12,130,142,0.126760563,0.162017705,10,7,71,78,0.128205128,0.123779947,0,0,0,0,,
84X389,Bronx Global Learning Institute for Girls Charter School,,7,16,11,256,267,0.059925094,0.182428872,1,1,45,46,0.02173913,0.118238558,0,0,0,0,,
84X347,International Leadership Charter High School,,10,0,0,0,0,,,0,0,0,0,,,45,32,231,263,0.171102662,0.155391782
84M707,John V. Lindsay Wildcat Academy Charter School,,2,0,0,0,0,,,0,0,0,0,,,228,108,452,560,0.407142857,0.123594765
84X200,ROADS Charter School II,RoadsCharter,12,0,0,0,0,,,0,0,0,0,,,64,39,251,290,0.220689655,0.181057504
84M330,Girls Preparatory Charter School of New York,PublicPrep,1,48,33,347,380,0.126315789,0.140902873,15,13,97,110,0.136363636,0.096470588,0,0,0,0,,
84M522,Broome Street Academy Charter School,,2,0,0,0,0,,,0,0,0,0,,,79,46,268,314,0.251592357,0.123594765
84K782,Bedford Stuyvesant New Beginnings Charter School,,16,51,35,346,381,0.133858268,0.257901086,9,6,46,52,0.173076923,0.181589958,0,0,0,0,,
84Q704,Merrick Academy - Queens Public Charter School,,29,42,27,406,433,0.096997691,0.159374552,11,11,23,34,0.323529412,0.114029729,0,0,0,0,,
84X208,New Visions Charter High School for the Humanities II,NewVisionsForPublicSchools,7,0,0,0,0,,,0,0,0,0,,,35,16,221,237,0.147679325,0.157912289
84K774,Achievement First Apollo Charter School,AchievementFirst,19,51,40,427,467,0.109207709,0.198793042,0,0,0,0,,,0,0,0,0,,
84X554,New York City Montessori Charter School,,7,29,25,213,238,0.121848739,0.182428872,0,0,0,0,,,0,0,0,0,,
84M284,Harlem Children's Zone Promise Academy 1 Charter School,,5,44,30,473,503,0.087475149,0.242731707,14,9,150,159,0.088050314,0.154559505,17,12,119,131,0.129770992,0.156697557
84M279,The Opportunity Charter School,,3,0,0,0,0,,,19,12,140,152,0.125,0.08423913,42,22,189,211,0.199052133,0.122007722
84R067,John W. Lavelle Preparatory Charter School,,31,0,0,0,0,,,40,21,248,269,0.148698885,0.064074289,8,7,52,59,0.13559322,0.112329129
84K359,The Uft Charter School,,19,58,30,392,422,0.137440758,0.198793042,29,22,144,166,0.174698795,0.13009809,35,22,223,245,0.142857143,0.189758414
84K701,Brooklyn Charter School,,14,50,25,224,249,0.200803213,0.12355265,0,0,0,0,,,0,0,0,0,,
84K538,Achievement First Bushwick Charter School,AchievementFirst,32,28,23,434,457,0.061269147,0.149523958,23,17,182,199,0.115577889,0.110780669,2,1,132,133,0.015037594,0.197509661
84M385,Success Academy Charter School - Harlem 3,Success,4,62,37,497,534,0.116104869,0.162017705,4,4,69,73,0.054794521,0.123779947,0,0,0,0,,
84K486,New Dawn Charter High School,,15,0,0,0,0,,,0,0,0,0,,,41,11,179,190,0.215789474,0.136150235
84M481,Democracy Prep Harlem Charter School,DemocracyPrep,5,11,5,121,126,0.087301587,0.242731707,46,33,223,256,0.1796875,0.154559505,17,9,110,119,0.142857143,0.156697557
84K182,Success Academy Charter School - Williamsburg,Success,14,21,10,239,249,0.084337349,0.12355265,0,0,0,0,,,0,0,0,0,,
84X704,KIPP Academy Charter School,Kipp,7,24,13,465,478,0.050209205,0.182428872,2,1,135,136,0.014705882,0.118238558,6,4,216,220,0.027272727,0.157912289
84M523,Success Academy Charter School - Upper West,Success,3,21,7,398,405,0.051851852,0.136597938,0,0,0,0,,,0,0,0,0,,
84K711,Leadership Preparatory Brownsville Charter School,UncommonSchools,23,42,20,403,423,0.09929078,0.262005224,0,0,0,0,,,0,0,0,0,,
84M861,Future Leaders Institute Charter School,,3,27,21,210,231,0.116883117,0.136597938,11,10,79,89,0.123595506,0.08423913,0,0,0,0,,
84K379,Explore Excel Charter School,ExploreSchools,18,29,25,293,318,0.091194969,0.16003206,0,0,0,0,,,0,0,0,0,,
84K651,PAVE Academy Charter School,,15,43,29,274,303,0.141914191,0.108221373,12,7,37,44,0.272727273,0.055401662,0,0,0,0,,
84K737,Brownsville Ascend Charter School,Ascend,23,43,26,584,610,0.070491803,0.262005224,0,0,0,0,,,0,0,0,0,,
84X703,Bronx Preparatory Charter School,DemocracyPrep,9,0,0,0,0,,,13,12,163,175,0.074285714,0.132367307,28,20,268,288,0.097222222,0.127398206
84K593,Excellence Boys Charter School,UncommonSchools,16,37,35,422,457,0.080962801,0.257901086,9,7,85,92,0.097826087,0.181589958,5,5,22,27,0.185185185,0.220415031
84X461,Metropolitan Lighthouse Charter School,LighthouseAcademies,9,64,47,260,307,0.208469055,0.194560427,0,0,0,0,,,0,0,0,0,,
84X378,Icahn Charter School 2,Icahn,11,10,4,190,194,0.051546392,0.159929019,3,2,68,70,0.042857143,0.113973931,0,0,0,0,,
84M386,Success Academy Charter School - Harlem 4,Success,3,54,35,449,484,0.111570248,0.136597938,2,1,55,56,0.035714286,0.08423913,0,0,0,0,,
84K356,Achievement First Crown Heights Charter School,AchievementFirst,17,25,13,452,465,0.053763441,0.212330889,15,10,177,187,0.080213904,0.118968598,10,7,126,133,0.07518797,0.14781362
84K693,Believe Northside Charter High School,,14,0,0,0,0,,,0,0,0,0,,,52,27,278,305,0.170491803,0.150123305
84Q342,Rochdale Early Advantage Charter School,,28,26,20,192,212,0.122641509,0.131404301,0,0,0,0,,,0,0,0,0,,
84M705,Amber Charter School,,4,50,37,428,465,0.107526882,0.162017705,4,4,0,4,,,0,0,0,0,,
